,href,city,buildingType,district,microDistrict,street,buildNumber,roomsTotal,metro,totalArea,livingArea,kitchenArea,floor,floorCount,price,longitude,latitude,distance,azimuth,priceMetr
365,https://valion.ua/properties/943323/,Киев,Квартиры,Голосеевский,None,Теремковская ул.,4а,2,None,61.0,33.0,11.0,2,8,2308000,30.450317348647673,50.3716715,10151.853466843675,210.84,37836.065573770495
366,https://valion.ua/properties/938485/,Киев,Квартиры,Шевченковский,Лукьяновка,Герцена ул.,17/25,2,Лукьяновская,85.0,46.0,17.0,5,12,3952000,30.470408116853086,50.4701857,4394.812451180258,300.81,46494.117647058825
367,https://valion.ua/properties/947949/,Киев,Квартиры,Оболонский,None,Балтийский переулок,23,1,Оболонь,43.0,16.0,12.0,23,25,996000,30.46699131823975,50.49682715,6579.4240306526235,322.44,23162.79069767442
368,https://valion.ua/properties/244292/,Киев,Квартиры,Шевченковский,Центр,Бульварно-Кудрявская ул.,38,4,Золотые Ворота,120.0,80.0,14.0,5,5,5640000,30.4947646,50.4497944,2048.9280063810393,269.37,47000.0
369,https://valion.ua/properties/937153/,Киев,Квартиры,Оболонский,Оболонь,Балтийский переулок,23,1,Оболонь,55.0,18.0,12.0,6,25,1029000,30.46699131823975,50.49682715,6579.4240306526235,322.44,18709.090909090908
370,https://valion.ua/properties/947943/,Киев,Квартиры,Оболонский,Минский,Балтийский переулок,23,1,Оболонь,40.0,18.0,12.0,15,25,971000,30.46699131823975,50.49682715,6579.4240306526235,322.44,24275.0
371,https://valion.ua/properties/947941/,Киев,Квартиры,Днепровский,Левобережный,Евгения Сверстюка ул.,6,2,Левобережная,57.0,27.0,12.0,2,13,2000000,30.6037507,50.44673185,5703.660967839747,93.63,35087.71929824561
372,https://valion.ua/properties/947749/,Киев,Квартиры,Соломенский,Шулявка,Машиностроительный переулок,26,1,Шулявская,41.0,18.0,11.0,8,28,1050000,30.43566385,50.44899735,6247.447776360804,269.01,25609.756097560974
373,https://valion.ua/properties/947694/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45а,2,None,63.0,26.5,16.91,18,25,1470000,30.422724927383797,50.503753700000004,9329.43106143661,309.98,23333.333333333332
374,https://valion.ua/properties/943612/,Киев,Квартиры,Подольский,Виноградарь,Межевой переулок,5,1,Нивки,30.0,15.0,6.0,1,9,728000,30.43170769994939,50.51561355,9788.731209310035,318.33,24266.666666666668
375,https://valion.ua/properties/941292/,Киев,Квартиры,Подольский,Виноградарь,Александра Олеся ул.,6а,1,Нивки,52.0,15.0,19.0,17,17,1540000,30.423106870852983,50.50110815,9122.542825187353,308.67,29615.384615384617
376,https://valion.ua/properties/490757/,Киев,Квартиры,Днепровский,Старая Дарница,Лобачевского ул.,7,1,None,46.0,20.0,14.0,11,25,1037100,30.6384123,50.4348856,8326.491742872244,101.64,22545.652173913044
377,https://valion.ua/properties/241184/,Киев,Квартиры,Шевченковский,Лукьяновка,Довнар-Запольского ул.,3,3,Лукьяновская,62.0,45.0,6.0,4,4,1715000,30.473024953358653,50.458035249999995,3702.0575030256146,284.03,27661.290322580644
378,https://valion.ua/properties/947931/,Киев,Квартиры,Голосеевский,None,Майкопская ул.,1а,1,Демеевская,22.4,15.0,5.0,5,5,563500,30.501366142849196,50.40382425,5374.185163426302,197.07,25156.25
379,https://valion.ua/properties/947929/,Киев,Квартиры,Дарницкий,Осокорки,Днепровская набережная,18,3,Осокорки,85.0,38.0,20.0,2,25,2430000,30.6007969,50.4099353,7066.867779987363,129.14,28588.235294117647
380,https://valion.ua/properties/947419/,Киев,Квартиры,Дарницкий,Харьковский,Ревуцкого ул.,40,2,Осокорки,74.0,31.0,15.0,15,25,2650000,30.6495178,50.40452875,10277.562235844274,119.5,35810.81081081081
381,https://valion.ua/properties/947209/,Киев,Квартиры,Соломенский,Отрадный,Героев Севастополя ул.,35а,1,None,45.0,16.0,10.0,19,24,2187000,30.422416266038923,50.4332257,7426.779504462407,255.45,48600.0
382,https://valion.ua/properties/947199/,Киев,Квартиры,Днепровский,None,Шалетт города ул.,5а,3,Дарница,61.0,44.5,7.9,1,5,1360000,0.0,0.0,6294223.410841964,217.4,22295.081967213115
383,https://valion.ua/properties/947768/,Киев,Квартиры,Дарницкий,Осокорки,Днепровская набережная,18,3,Осокорки,85.0,38.0,20.0,14,25,2835000,30.6007969,50.4099353,7066.867779987363,129.14,33352.94117647059
384,https://valion.ua/properties/803997/,Киев,Квартиры,Днепровский,Русановка,Русановская Набережная,8/1,3,Левобережная,62.0,41.0,7.0,1,9,1814960,30.593783088538643,50.437206399999994,5183.772753456847,105.95,29273.548387096773
385,https://valion.ua/properties/944252/,Киев,Квартиры,Днепровский,Левобережный,Евгения Сверстюка ул.,6,1,None,49.27,16.57,15.98,9,25,1314000,30.6037507,50.44673185,5703.660967839747,93.63,26669.37284351532
386,https://valion.ua/properties/947662/,Киев,Квартиры,Голосеевский,None,Большая Окружная ул.,11,1,Теремки,42.4,14.7,19.85,7,17,593000,30.3890485,50.4098907,10551.008432648749,244.98,13985.849056603774
387,https://valion.ua/properties/947661/,Киев,Квартиры,Днепровский,Никольская Слободка,Каховская ул.,62,2,Левобережная,62.0,28.0,13.0,20,26,1946000,27.55619189437928,53.929452999999995,437029.46277014783,333.56,31387.09677419355
388,https://valion.ua/properties/899094/,Киев,Квартиры,Оболонский,Оболонь,Иорданская ул.,22,3,Оболонь,59.0,45.0,7.0,7,9,1720000,30.506212050305283,50.498970799999995,5585.688859179304,347.27,29152.542372881355
389,https://valion.ua/properties/947163/,Киев,Квартиры,Оболонский,Оболонь,Богатырская ул.,16,3,Героев Днепра,67.0,42.0,8.0,5,16,1736000,30.48605615849888,50.52205094999999,8446.376571282564,341.67,25910.44776119403
390,https://valion.ua/properties/946919/,Киев,Квартиры,Шевченковский,Сырец,Тираспольская ул.,58,1,Сырец,31.0,13.0,7.0,15,16,950000,30.41342633750468,50.481098,8553.914815147036,293.95,30645.16129032258
391,https://valion.ua/properties/946840/,Киев,Квартиры,Святошинский,Борщаговка,Кольцевая дорога,5,3,Житомирская,62.0,43.0,8.0,6,9,1328400,30.35735,50.45435,11817.941026930454,272.42,21425.8064516129
392,https://valion.ua/properties/944343/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4,3,None,61.0,30.0,12.0,5,9,3150000,30.6222181,50.4357289,7182.192557774966,102.77,51639.34426229508
393,https://valion.ua/properties/936236/,Киев,Квартиры,Дарницкий,Осокорки,Осокорская ул.,2а,3,Славутич,94.0,43.0,23.0,19,22,3136000,30.600501469458347,50.3977225,7979.535511373216,136.83,33361.70212765958
394,https://valion.ua/properties/947227/,Киев,Квартиры,Шевченковский,Шулявка,Андрющенко Григория ул.,6г,3,Лукьяновская,81.0,25.0,36.0,25,25,3969000,30.4797067,50.4533128,3139.864002910368,276.78,49000.0
395,https://valion.ua/properties/946548/,Киев,Квартиры,Днепровский,None,Соборности проспект,30,1,Левобережная,50.0,30.0,10.0,27,34,1440000,30.61006024124378,50.43863665000001,6269.48032531884,101.63,28800.0
396,https://valion.ua/properties/922752/,Киев,Квартиры,Голосеевский,Голосеево,Голосеевский проспект,120/1,3,Выставочный центр,58.0,43.0,6.0,4,8,1690420,30.4881298,50.3853719,7618.498806380582,199.29,29145.172413793105
397,https://valion.ua/properties/860817/,Киев,Квартиры,Дарницкий,None,Ревуцкого ул.,9,1,Позняки,57.0,27.0,15.0,23,24,1715000,30.643094161087273,50.4189614,9164.260714611808,112.14,30087.719298245614
398,https://valion.ua/properties/934412/,Киев,Квартиры,Святошинский,Академгородок,Львовская ул.,7/9,1,Святошин,23.0,13.0,4.0,7,9,921400,30.380915972684317,50.454825799999995,10148.507633592873,273.1,40060.86956521739
399,https://valion.ua/properties/933507/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к2,3,Дарница,78.0,45.0,13.0,6,9,3400000,30.6206087,50.4380777,7016.535031428097,100.89,43589.743589743586
400,https://valion.ua/properties/947327/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45,1,Оболонь,39.0,15.0,10.0,24,25,1000000,30.4238111,50.503875050000005,9279.085487859777,310.35,25641.02564102564
401,https://valion.ua/properties/925694/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45а,1,Оболонь,39.0,15.0,11.0,5,25,1295000,30.422724927383797,50.503753700000004,9329.43106143661,309.98,33205.1282051282
402,https://valion.ua/properties/946558/,Киев,Квартиры,Оболонский,Оболонь,Полярная ул.,8г,3,None,71.0,50.0,8.0,15,16,1833750,30.464681261678244,50.51715215,8561.103015230085,330.84,25827.464788732395
403,https://valion.ua/properties/947215/,Киев,Квартиры,Дарницкий,Осокорки,Днепровская набережная,18,3,Осокорки,84.0,36.0,24.0,22,25,2860000,30.6007969,50.4099353,7066.867779987363,129.14,34047.619047619046
404,https://valion.ua/properties/946819/,Киев,Квартиры,Подольский,None,Правды проспект,45,1,Академгородок,35.0,10.0,15.0,15,26,1020600,30.4238111,50.503875050000005,9279.085487859777,310.35,29160.0
405,https://valion.ua/properties/944901/,Киев,Квартиры,Дарницкий,None,Бориспольская ул.,23а,1,Красный хутор,44.0,20.0,10.0,8,19,1350000,30.70396010653202,50.422307,13178.013975436717,103.48,30681.81818181818
406,https://valion.ua/properties/945134/,Киев,Квартиры,Дарницкий,Осокорки,Чавдар ул.,4,2,Осокорки,68.0,29.0,14.0,24,25,2009000,0.0,0.0,6294223.410841964,217.4,29544.117647058825
407,https://valion.ua/properties/947145/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45,2,None,72.0,30.0,21.4,2,25,1871100,30.4238111,50.503875050000005,9279.085487859777,310.35,25987.5
408,https://valion.ua/properties/947144/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45,1,None,53.0,12.0,19.7,12,24,1628100,30.4238111,50.503875050000005,9279.085487859777,310.35,30718.867924528302
409,https://valion.ua/properties/946637/,Киев,Квартиры,Дарницкий,Осокорки,Чавдар ул.,7,4,Осокорки,150.0,95.0,17.0,19,25,4050000,0.0,0.0,6294223.410841964,217.4,27000.0
410,https://valion.ua/properties/942939/,Киев,Квартиры,Оболонский,Оболонь,Богатырская ул.,6а,1,Минская,35.0,15.0,8.0,24,25,1659200,30.484819788336242,50.5195452,8211.378610016242,340.47,47405.71428571428
411,https://valion.ua/properties/946065/,Киев,Квартиры,Шевченковский,КПИ,Борщаговская ул.,2,2,Политехнический институт,51.0,30.0,7.0,6,9,1366400,30.4757752,50.44852445,3401.5203550094366,267.25,26792.156862745098
412,https://valion.ua/properties/946640/,Киев,Квартиры,Днепровский,Воскресенка,Стальского ул.,32,2,None,51.0,32.0,7.5,5,9,1350000,0.0,0.0,6294223.410841964,217.4,26470.58823529412
413,https://valion.ua/properties/946641/,Киев,Квартиры,Днепровский,Никольская Слободка,Андрея Аболмасова ул.,7,2,Левобережная,65.0,32.0,14.0,5,20,2016000,30.5859326,50.4579974,4514.496134560164,78.58,31015.384615384617
414,https://valion.ua/properties/946639/,Киев,Квартиры,Соломенский,Отрадный,Нежинская ул.,5,3,None,113.0,61.0,18.0,2,23,2940000,30.436000589939034,50.440162799999996,6318.589487779917,260.03,26017.699115044248
415,https://valion.ua/properties/946628/,Киев,Квартиры,Шевченковский,Центр,Победы проспект,11а,1,Политехнический институт,51.8,19.2,14.1,23,36,2033500,30.349739,50.4549766,12360.892450994434,272.64,39256.75675675676
416,https://valion.ua/properties/946425/,Киев,Квартиры,Подольский,Сырец,Тираспольская ул.,58,1,Сырец,43.0,15.0,13.0,12,16,1946000,30.41342633750468,50.481098,8553.914815147036,293.95,45255.813953488374
417,https://valion.ua/properties/945990/,Киев,Квартиры,Шевченковский,Нивки,Академика Туполева ул.,11б,1,Нивки,32.0,19.0,6.0,1,5,864000,30.393450450000003,50.48212525,9908.296096088881,291.24,27000.0
418,https://valion.ua/properties/945757/,Киев,Квартиры,Голосеевский,Демеевка,Демеевская ул.,1а,2,Демеевская,36.0,12.0,18.0,2,5,1150910,30.5135161,50.407266,4807.430444816677,188.56,31969.722222222223
419,https://valion.ua/properties/943944/,Киев,Квартиры,Деснянский,Троещина,Теодора Драйзера ул.,36,3,Левобережная,70.0,42.0,12.0,7,14,1512800,30.59507430019962,50.51363125,8707.978015669589,35.52,21611.428571428572
420,https://valion.ua/properties/367166/,Киев,Квартиры,Соломенский,Александровская Слободка,Семеновская ул.,9,2,None,58.0,31.0,8.0,7,9,1500600,0.0,0.0,6294223.410841964,217.4,25872.41379310345
421,https://valion.ua/properties/946421/,Киев,Квартиры,Дарницкий,Осокорки,Днепровская набережная,16д,1,Осокорки,41.0,14.0,13.0,11,26,1579500,30.6007969,50.4099353,7066.867779987363,129.14,38524.39024390244
422,https://valion.ua/properties/946196/,Киев,Квартиры,Деснянский,Троещина,Закревского Николая ул.,97,1,Черниговская,43.0,18.0,10.0,14,20,1171200,30.6260921,50.5162045,10350.862722233727,44.53,27237.20930232558
423,https://valion.ua/properties/928335/,Киев,Квартиры,Святошинский,Святошино,Петрицкого ул.,23,2,None,72.0,55.0,15.0,4,16,3524810,0.0,0.0,6294223.410841964,217.4,48955.694444444445
424,https://valion.ua/properties/925464/,Киев,Квартиры,Днепровский,Воскресенка,Запорожца ул.,13б,1,None,22.0,12.0,4.0,9,9,689000,0.0,0.0,6294223.410841964,217.4,31318.18181818182
425,https://valion.ua/properties/943265/,Киев,Квартиры,Печерский,Печерск,Василия Тютюнника  ул.,52/1,2,Лыбедская,70.0,35.0,13.0,7,12,3402000,30.5211622,50.4297959,2254.1767779781976,184.42,48600.0
426,https://valion.ua/properties/942882/,Киев,Квартиры,Днепровский,Левобережный,Евгения Сверстюка ул.,4,1,Левобережная,45.0,15.0,16.0,12,25,1175000,30.6020992,50.4475018,5581.6395778230835,92.83,26111.11111111111
427,https://valion.ua/properties/940318/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,2,None,58.0,28.0,13.0,9,26,1506600,30.5913211,50.4631264,5025.210376928898,73.04,25975.862068965518
428,https://valion.ua/properties/767059/,Киев,Квартиры,Дарницкий,Харьковский,Ревуцкого ул.,19/1,3,Позняки,78.0,46.0,10.0,6,16,1568000,30.645592957766908,50.415517699999995,9477.69651545674,113.88,20102.5641025641
429,https://valion.ua/properties/941994/,Киев,Квартиры,Оболонский,Оболонь,Приречная ул.,17д,2,Героев Днепра,50.0,36.0,8.0,9,9,1580800,30.51676394519626,50.5191176,7703.872498976352,356.4,31616.0
430,https://valion.ua/properties/946454/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,3,Левобережная,74.9,40.0,13.0,24,26,1803000,30.5913211,50.4631264,5025.210376928898,73.04,24072.09612817089
431,https://valion.ua/properties/945764/,Киев,Квартиры,Оболонский,Оболонь,Малиновского ул.,11,2,Оболонь,52.0,29.0,8.0,8,9,2185000,30.2548779,50.5588294,22583.571113222202,302.59,42019.230769230766
432,https://valion.ua/properties/945762/,Киев,Квартиры,Шевченковский,Нивки,Салютная ул.,1б,3,Нивки,102.4,55.1,17.0,1,9,3503500,30.400442390891524,50.4726268,9100.850702806676,286.14,34213.8671875
433,https://valion.ua/properties/946035/,Киев,Квартиры,Шевченковский,Лукьяновка,Дегтяревская ул.,11в,1,Лукьяновская,27.0,17.0,4.0,2,5,882000,30.465834274653368,50.46130775,4291.539957055569,287.11,32666.666666666668
434,https://valion.ua/properties/944555/,Киев,Квартиры,Соломенский,Отрадный,Николая Василенко ул.,12,3,None,56.0,39.0,6.0,4,5,1293000,30.42291899964956,50.4418743,7209.0821453954595,262.82,23089.285714285714
435,https://valion.ua/properties/895938/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4,1,Дарница,44.4,35.0,6.0,1,9,1872000,30.6222181,50.4357289,7182.192557774966,102.77,42162.16216216217
436,https://valion.ua/properties/854779/,Киев,Квартиры,Оболонский,Оболонь,Тимошенко Маршала ул.,21/19,1,Минская,40.5,27.4,13.05,19,25,1827000,0.0,0.0,6294223.410841964,217.4,45111.11111111111
437,https://valion.ua/properties/946439/,Киев,Квартиры,Печерский,Печерск,Иоанна Павла II ул.,12,2,Печерская,84.23,38.0,25.54,11,31,5978000,30.5409558,50.4180003,3766.842615206108,160.95,70972.33764691914
438,https://valion.ua/properties/945756/,Киев,Квартиры,Дарницкий,None,Харьковское шоссе,146,2,None,55.0,31.0,9.0,2,16,1244000,30.64885042467609,50.4213173,9452.486414070378,109.73,22618.18181818182
439,https://valion.ua/properties/943752/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,41,1,None,47.0,15.0,16.0,7,24,1207800,30.427424,50.5029027,9013.868489175138,310.87,25697.872340425532
440,https://valion.ua/properties/944893/,Киев,Квартиры,Подольский,Виноградарь,Правды проспект,45,1,None,36.0,11.0,13.0,16,25,1086210,30.4238111,50.503875050000005,9279.085487859777,310.35,30172.5
441,https://valion.ua/properties/929016/,Киев,Квартиры,Шевченковский,Лукьяновка,Ильенко Юрия ул.,6,2,Лукьяновская,56.0,34.1,7.1,4,7,2327500,0.0,0.0,6294223.410841964,217.4,41562.5
